,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
25,90,1.0,10,0.5,-3,100.0,1.2687299999961397,0.13734375000000001,-2.9986718750000003,0.297578125,6.981640625,0.49826009999378584,hit,0.3,s,s,s,50
26,45,0.8,10,0.5,-3,95.78125,1.1563675000070361,0.36625,-2.907109375,7.118984375000001,3.776953125,0.48097109999798704,hit,0.3,s,s,s,50
27,45,1.2,10,0.5,-3,96.92578125,1.2680328999995254,0.06867187500000001,-2.861328125,7.073203125000001,3.9371875000000003,0.4634351999993669,hit,0.1,s,s,s,50
28,135,0.8,10,0.5,-3,96.49658203125,1.135335799990571,0.022890625,-3.044453125,-7.164765624999999,4.074531250000001,0.6305502000031993,hit,0.1,s,s,s,50
29,90,0.4,10,0.5,-3,44.13427734375,2.290792200001306,0.48070312500000006,-3.0215625,-0.22890625,6.95875,0.6473746000119718,hit,0.3,s,s,s,50
30,90,0.8,10,0.5,-3,84.47900390625,1.185650200000964,0.25179687500000003,-2.8384375000000004,0.0,7.302109375000001,0.6461147999943933,hit,0.1,s,s,s,50
31,90,0.4,10,0.5,-3,69.88623046875,3.485824600007618,0.0,-3.113125,0.0,7.210546875,0.9145745999994688,hit,0.1,s,s,s,50
32,135,1.0,10,0.5,-3,73.31982421875,1.3416813000076218,0.022890625,-3.044453125,-7.393671875,3.9371875000000003,0.7470178000075975,hit,0.1,s,s,s,50
33,90,0.4,10,0.5,-3,83.04833984375,1.2244925000122748,0.27468750000000003,-2.88421875,-0.27468750000000003,7.004531250000001,0.46470129999215715,hit,0.3,s,s,s,50
34,90,0.2,10,0.5,-3,83.4775390625,1.1924883000028785,-0.022890625,-2.723984375,0.0,7.0503124999999995,0.7319443000014871,hit,0.2,s,s,s,50
35,90,0.6,10,0.5,-3,28.396972656249996,1.9420650999963982,0.0,-2.88421875,-0.04578125,6.8671875,0.5974369000032311,hit,0.2,s,s,s,50
36,135,0.8,10,0.5,-3,83.19140625,1.2567736000055447,0.04578125,-2.9986718750000003,-7.2563281250000005,3.776953125,0.7652552999934414,hit,0.1,s,s,s,50
37,90,1.0,10,0.5,-3,83.4775390625,1.3075695000006817,0.20601562499999998,-2.93,0.0,6.82140625,0.514914300001692,hit,0.2,s,s,s,50
38,90,0.6,10,0.5,-3,14.090332031249996,1.2914749000046868,0.04578125,-3.0215625,0.0,7.0503124999999995,0.6001362999959383,hit,0.3,s,s,s,50
39,90,0.2,10,0.5,-3,15.664062499999998,1.9071282999939285,0.04578125,-2.952890625,0.0915625,7.118984375000001,0.6156684999878053,hit,0.3,s,s,s,50
40,90,0.2,10,0.5,-3,5.649414062500002,1.4530651999957627,0.04578125,-3.0215625,0.022890625,7.187656250000001,0.5627501999988453,hit,0.3,s,s,s,50
41,90,1.0,10,0.5,-3,64.73583984375,1.5747770000016317,0.27468750000000003,-2.907109375,0.0,7.210546875,0.5298960999934934,hit,0.2,s,s,s,50
42,90,0.4,10,0.5,-3,62.3037109375,1.6909157000045525,0.0915625,-3.0215625,-0.13734375000000001,7.09609375,0.6648024000023725,hit,0.1,s,s,s,50
43,90,1.2,10,0.5,-3,70.3154296875,1.3079304999992019,-0.22890625,-3.113125,0.27468750000000003,6.6840625000000005,0.532795500010252,hit,0.3,s,s,s,50
44,45,1.2,10,0.5,-3,72.890625,1.4922129000042332,-0.13734375000000001,-3.044453125,6.729843750000001,3.98296875,0.598420399997849,hit,0.1,s,s,s,50
45,45,0.4,10,0.5,-3,84.3359375,1.0594355999928666,0.36625,-2.952890625,6.981640625,4.143203125,0.4819703999964986,hit,0.3,s,s,s,50
46,45,0.6,10,0.5,-3,81.1884765625,0.9919866999989608,0.0,-3.06734375,7.09609375,3.8456250000000005,0.5323664000025019,hit,0.1,s,s,s,50
47,135,0.4,10,0.5,-3,82.18994140625,1.1907420000061393,0.06867187500000001,-3.1360156249999998,-7.187656250000001,4.280546875000001,0.7638001999875996,hit,0.2,s,s,s,50
48,45,0.4,10,0.5,-3,62.01757812500001,1.5032235999969998,0.0915625,-2.9986718750000003,7.0503124999999995,3.8227343750000005,0.5619614999886835,hit,0.2,s,s,s,50
49,45,1.0,10,0.5,-3,72.890625,0.8750760999973863,0.114453125,-2.93,6.661171875000001,3.89140625,1.4321101999958046,hit,0.2,s,s,s,50
50,135,0.8,10,0.5,-3,6.221679687499993,1.069854099987424,0.0,-2.815546875,-6.981640625,3.8685156249999997,0.7984660000074655,hit,0.1,s,s,s,50
51,45,1.0,10,0.5,-3,79.4716796875,0.9573968000040622,0.0,-2.70109375,7.233437500000001,4.074531250000001,0.4318617999961134,hit,0.3,s,s,s,50
52,135,0.6,10,0.5,-3,9.941406250000002,0.9538665000000037,0.022890625,-2.861328125,-7.325,4.16609375,0.7481356000062078,hit,0.1,s,s,s,50
53,135,0.4,10,0.5,-3,48.5693359375,1.4193476999935228,-0.04578125,-2.861328125,-7.09609375,4.646796875000001,0.5307342000014614,miss,0.3,s,s,s,50
54,135,1.0,10,0.5,-3,18.38232421875,0.8906248999992386,0.022890625,-2.93,-7.164765624999999,4.074531250000001,0.6642866999900434,hit,0.1,s,s,s,50
55,90,1.0,10,0.5,-3,97.2119140625,1.2068683999968925,0.022890625,-3.0215625,-0.06867187500000001,7.210546875,0.5814478999964194,hit,0.1,s,s,s,50
56,45,0.6,10,0.5,-3,4.791015624999995,1.1242166000010911,0.04578125,-2.70109375,7.027421875,4.211875,0.5643738000071608,hit,0.1,s,s,s,50
57,45,0.4,10,0.5,-3,20.814453125,1.2082568000041647,0.32046874999999997,-2.907109375,7.004531250000001,4.188984375,0.5492088000028161,hit,0.1,s,s,s,50
