,direction,r,size_L,size_R,stage,theta_L,theta_R,type,w_L,w_R,x0,y0,x1,y1,theta_L1,theta_R1,rt,response,score,choose,name,sex,age,distance
107,True,7.0,16,16,phase_2,110,70,v,30,0,-0.022890625,0.16023437499999998,-3.9371875000000003,3.8685156249999997,131.6522120001173,70.0,0.0,hit,100,left,lll,1,23,50
108,True,7.0,24,16,phase_2,110,70,vs,30,0,-0.022890625,-0.04578125,-3.6167187500000004,4.280546875000001,126.17516900019837,70.0,0.0,hit,100,left,lll,1,23,50
109,True,7.0,24,8,phase_2,110,70,vs,30,0,0.06867187500000001,0.022890625,-3.044453125,4.6010156250000005,125.86262299999362,70.0,0.0,hit,100,left,lll,1,23,50
110,True,7.0,24,16,phase_2,110,70,vs,60,0,-0.06867187500000001,0.06867187500000001,-4.25765625,3.5251562499999998,142.7457319997484,70.0,0.0,hit,100,left,lll,1,23,50
111,True,7.0,8,16,phase_2,110,70,s,0,0,0.0915625,-0.04578125,2.174609375,5.104609375000001,110.0,70.0,0.0,hit,100,right,lll,1,23,50
112,True,7.0,8,16,phase_2,110,70,vs,30,60,-0.0915625,0.0,-3.79984375,4.005859375,131.82523999988916,26.349520000221673,0.0,hit,100,left,lll,1,23,50
113,False,7.0,8,16,phase_2,250,-70,vs,0,60,-0.13734375000000001,0.0,-2.403515625,-5.4021875,250.0,-28.71491799960495,0.0,hit,100,left,lll,1,23,50
114,False,7.0,8,16,phase_2,250,-70,vs,0,30,0.04578125,0.0915625,-1.899921875,-5.08171875,250.0,-33.63300700002583,1.2124553000030573,no_response,-300,0,lll,1,23,50
115,True,7.0,24,16,phase_2,110,70,vs,60,0,0.022890625,0.022890625,2.220390625,5.0359375,160.71581600001082,70.0,0.0,hit,100,right,lll,1,23,50
116,False,7.0,8,24,phase_2,250,-70,s,0,0,0.0,0.022890625,-2.24328125,-5.058828125,250.0,-70.0,0.0,hit,100,left,lll,1,23,50
117,True,7.0,24,16,phase_2,110,70,vs,60,30,0.0,-0.114453125,-4.76125,2.815546875,155.71178600002895,47.144106999985524,0.0,hit,100,left,lll,1,23,50
118,False,7.0,24,16,phase_2,250,-70,s,60,60,-0.183125,0.0,-4.80703125,-2.723984375,210.62555200027418,-30.625552000274183,0.0,hit,100,left,lll,1,23,50
119,True,7.0,24,8,phase_2,110,70,vs,60,30,0.20601562499999998,-0.022890625,-4.944375,2.861328125,148.82954600005178,50.58522699997411,0.0,hit,100,left,lll,1,23,50
120,True,7.0,8,24,phase_2,110,70,vs,0,60,0.13734375000000001,-0.06867187500000001,5.562421875,-1.14453125,110.0,0.25833399980911054,0.0,hit,100,right,lll,1,23,50
121,True,7.0,24,16,phase_2,110,70,s,30,30,-0.16023437499999998,-0.04578125,-3.9142968750000002,3.9371875000000003,136.86118999998143,43.138810000018566,0.0,hit,100,left,lll,1,23,50
122,True,7.0,8,16,phase_2,110,70,vs,30,60,0.022890625,0.13734375000000001,-4.051640625,3.7311718750000002,136.32207200003904,17.355855999921914,0.0,hit,100,left,lll,1,23,50
